timestamp,outside_temperature,wind_speed,solar_radiation
2019-01-01 00:00:16,16.651666666666692,2.186666666666667,0.0
2019-01-01 00:30:16,16.703333333333354,2.446666666666666,0.0
2019-01-01 01:00:16,16.656666666666677,2.03,0.0
2019-01-01 01:30:16,16.690000000000005,2.419999999999999,0.0
2019-01-01 02:00:16,16.74333333333335,2.0266666666666664,0.0
2019-01-01 02:30:16,16.640000000000022,1.23,0.0
2019-01-01 03:00:16,16.826666666666657,1.6466666666666667,0.0
2019-01-01 03:30:16,16.836666666666645,1.058333333333333,0.0
2019-01-01 04:00:16,16.701666666666686,1.715,0.0
2019-01-01 04:30:16,16.600000000000016,1.6699999999999997,0.0
2019-01-01 05:00:16,16.610000000000017,1.7233333333333327,0.0
2019-01-01 05:30:16,16.80166666666665,2.280000000000001,0.0
2019-01-01 06:00:16,17.015000000000004,1.6066666666666667,0.0
2019-01-01 06:30:16,16.814999999999984,1.4633333333333336,0.0
2019-01-01 07:00:16,16.738333333333358,1.7749999999999992,2.6166666666666667
2019-01-01 07:30:16,16.798333333333318,1.16,36.4
2019-01-01 08:00:16,17.186666666666664,2.008333333333333,86.83333333333333
2019-01-01 08:30:16,17.86833333333334,1.8550000000000009,180.55
2019-01-01 09:00:16,17.73,1.941666666666666,123.35
2019-01-01 09:30:16,17.931666666666665,1.4550000000000005,235.68333333333334
2019-01-01 10:00:16,18.621666666666655,1.1683333333333332,303.78333333333336
2019-01-01 10:30:16,19.406666666666656,1.9366666666666668,345.2
2019-01-01 11:00:16,19.28166666666664,1.105,257.9166666666667
2019-01-01 11:30:16,19.309999999999985,1.7300000000000004,273.3
2019-01-01 12:00:16,19.62333333333332,2.065,425.6333333333333
2019-01-01 12:30:16,19.665000000000013,1.0916666666666663,297.15
2019-01-01 13:00:16,19.58833333333333,0.9766666666666665,346.3666666666667
2019-01-01 13:30:16,20.133333333333336,1.105,292.75
2019-01-01 14:00:16,19.64833333333333,0.6683333333333332,217.81666666666666
2019-01-01 14:30:16,19.358333333333313,0.47000000000000003,173.98333333333332
2019-01-01 15:00:16,19.01999999999999,0.9233333333333328,193.76666666666668
2019-01-01 15:30:16,19.188333333333322,1.3749999999999996,174.3
2019-01-01 16:00:16,18.600000000000012,1.2449999999999999,138.31666666666666
2019-01-01 16:30:16,18.47166666666668,0.9049999999999997,74.88333333333334
2019-01-01 17:00:16,17.53999999999999,0.5099999999999999,33.516666666666666
2019-01-01 17:30:16,17.198333333333355,1.2650000000000001,2.3833333333333333
2019-01-01 18:00:16,17.22166666666666,1.118333333333333,0.0
2019-01-01 18:30:16,17.34999999999999,1.4466666666666663,0.0
2019-01-01 19:00:16,17.40833333333332,0.8049999999999998,0.0
2019-01-01 19:30:16,17.308333333333334,0.5233333333333333,0.0
2019-01-01 20:00:16,17.298333333333314,1.6016666666666663,0.0
2019-01-01 20:30:16,17.250000000000014,1.8816666666666673,0.0
2019-01-01 21:00:16,17.03666666666667,2.1416666666666666,0.0
2019-01-01 21:30:16,16.93166666666665,1.9000000000000001,0.0
2019-01-01 22:00:16,16.955,1.7366666666666672,0.0
2019-01-01 22:30:16,16.899999999999984,1.616666666666667,0.0
2019-01-01 23:00:16,16.89333333333332,1.665,0.0
2019-01-01 23:30:16,16.985000000000003,1.3599999999999999,0.0
2019-01-02 00:00:16,17.216666666666672,1.1283333333333332,0.0
2019-01-02 00:30:16,17.309999999999985,1.3849999999999993,0.0
2019-01-02 01:00:16,17.39166666666665,0.7699999999999999,0.0
2019-01-02 01:30:16,17.29999999999998,0.5850000000000001,0.0
2019-01-02 02:00:16,17.263333333333346,0.1516666666666667,0.0
2019-01-02 02:30:16,17.249999999999975,0.3366666666666666,0.0
2019-01-02 03:00:16,17.22000000000002,0.7883333333333336,0.0
2019-01-02 03:30:16,17.20000000000002,1.2766666666666668,0.0
2019-01-02 04:00:16,16.924999999999997,1.8583333333333336,0.0
2019-01-02 04:30:16,16.444999999999983,1.4449999999999998,0.0
2019-01-02 05:00:16,16.075000000000006,1.488333333333333,0.0
2019-01-02 05:30:16,15.844999999999997,2.2350000000000003,0.0
2019-01-02 06:00:16,15.681666666666672,1.8716666666666668,0.0
2019-01-02 06:30:16,15.968333333333339,2.105,0.0
2019-01-02 07:00:16,16.28999999999998,1.9766666666666661,0.5833333333333334
2019-01-02 07:30:16,16.483333333333338,1.8450000000000002,16.7
2019-01-02 08:00:16,16.734999999999975,2.163333333333334,52.8
2019-01-02 08:30:16,17.176666666666645,2.815000000000001,117.73333333333333
2019-01-02 09:00:16,17.485000000000003,2.408333333333333,122.38333333333334
2019-01-02 09:30:16,17.64666666666668,2.4166666666666656,112.65
2019-01-02 10:00:16,17.650000000000027,2.5516666666666667,111.08333333333333
2019-01-02 10:30:16,17.71500000000001,1.2333333333333332,125.1
2019-01-02 11:00:16,17.961666666666666,1.616666666666667,190.8
2019-01-02 11:30:16,18.35833333333333,1.5583333333333331,222.25
2019-01-02 12:00:16,17.91333333333331,1.0166666666666664,113.56666666666666
2019-01-02 12:30:16,17.588333333333335,1.1700000000000002,79.1
2019-01-02 13:00:16,17.321666666666648,0.825,55.88333333333333
2019-01-02 13:30:16,17.066666666666656,1.1749999999999996,55.5
2019-01-02 14:00:16,16.518333333333324,1.4766666666666666,46.13333333333333
2019-01-02 14:30:16,16.449999999999996,1.6899999999999988,70.38333333333334
2019-01-02 15:00:16,16.605000000000015,1.421666666666666,61.36666666666667
2019-01-02 15:30:16,16.70000000000002,1.3549999999999998,37.88333333333333
