timestamp,charge_discharge_power,rsoc,battery_rsoc,pvc_charge_power,pvc_charge_current,battery_current,ups_output_power,ups_output_current,dcdc_grid_power,p1,p2
2019/1/1 00:00,26.216666666666665,28.816666666666666,34.0,0.0,0.0,-0.5191666666666667,144.63333333333333,1.3066666666666662,0.0,-15.573333333333325,262.9883333333334
2019/1/1 00:30,26.433333333333334,28.0,33.35,0.0,0.0,-0.524833333333333,124.46666666666667,1.128333333333334,0.0,-24.45333333333335,246.10999999999999
2019/1/1 01:00,26.3,28.0,33.0,0.0,0.0,-0.5213333333333333,154.61666666666667,1.4300000000000004,0.0,-9.386666666666665,273.93333333333334
2019/1/1 01:30,26.15,27.1,32.9,0.0,0.0,-0.5216666666666665,153.1,1.3749999999999993,0.0,-10.713333333333335,272.0783333333333
2019/1/1 02:00,26.083333333333332,27.0,32.0,0.0,0.0,-0.5208333333333329,125.08333333333333,1.1383333333333343,0.0,-24.54833333333332,245.77833333333328
2019/1/1 02:30,26.066666666666666,26.666666666666668,32.0,0.0,0.0,-0.520833333333333,183.45,1.5450000000000002,0.0,-2.460000000000002,290.8333333333334
2019/1/1 03:00,26.183333333333334,26.0,31.45,0.0,0.0,-0.5221666666666666,178.55,1.4733333333333336,0.0,2.118333333333332,300.8416666666666
2019/1/1 03:30,26.316666666666666,25.983333333333334,31.0,0.0,0.0,-0.5233333333333333,148.25,1.3216666666666668,0.0,-11.986666666666668,271.4683333333334
2019/1/1 04:00,26.883333333333333,25.0,31.0,0.0,0.0,-0.5290000000000005,162.85,1.408333333333334,0.0,-8.008333333333335,280.57500000000005
2019/1/1 04:30,27.016666666666666,25.0,30.0,0.0,0.0,-0.5305000000000004,169.43333333333334,1.4400000000000017,0.0,-2.9150000000000005,288.58333333333326
2019/1/1 05:00,27.0,24.283333333333335,30.0,0.0,0.0,-0.5301666666666671,139.61666666666667,1.245,0.0,-16.761666666666667,260.145
2019/1/1 05:30,26.866666666666667,24.0,29.55,0.0,0.0,-0.5295000000000003,149.21666666666667,1.2483333333333346,0.0,-14.641666666666667,267.35166666666674
2019/1/1 06:00,26.966666666666665,23.816666666666666,29.0,0.0,0.0,-0.5305000000000004,177.43333333333334,1.5650000000000006,0.0,0.08833333333333375,297.2183333333335
2019/1/1 06:30,26.466666666666665,23.0,29.0,0.0,0.0,-0.5240000000000001,170.43333333333334,1.505,0.0,-7.489999999999998,282.65166666666676
2019/1/1 07:00,26.5,23.0,28.1,0.0,0.002,-0.5223333333333334,145.41666666666666,1.2883333333333333,0.0,-15.484999999999998,265.06333333333333
2019/1/1 07:30,16.4,22.133333333333333,28.0,18.55,0.359,-0.06216666666666667,180.75,1.556666666666667,0.0,-1.9683333333333344,292.73666666666657
2019/1/1 08:00,126.76666666666667,22.95,28.283333333333335,150.31666666666666,2.8569999999999993,2.423666666666667,165.75,1.4866666666666668,0.0,-5.015,286.94499999999994
2019/1/1 08:30,634.65,27.6,32.88333333333333,665.15,12.424166666666663,11.989,146.91666666666666,1.313333333333334,0.0,-13.063333333333333,270.645
2019/1/1 09:00,251.43333333333334,32.7,37.61666666666667,276.31666666666666,5.1946666666666665,4.751333333333334,167.93333333333334,1.4050000000000005,0.0,-6.105,283.8783333333333
2019/1/1 09:30,415.51666666666665,37.45,42.083333333333336,722.9333333333333,13.461999999999998,7.815833333333334,165.68333333333334,1.5100000000000002,0.0,-87.15166666666667,64.12999999999998
2019/1/1 10:00,714.35,43.6,47.766666666666666,1020.5333333333333,18.885666666666665,13.341333333333331,137.56666666666666,1.2850000000000004,0.0,-96.29000000000002,39.39500000000001
2019/1/1 10:30,621.8333333333334,52.833333333333336,56.483333333333334,941.5,17.43416666666667,11.629999999999995,148.05,1.361666666666667,0.0,-96.22166666666665,39.44500000000001
2019/1/1 11:00,400.3833333333333,57.083333333333336,60.43333333333333,583.35,10.873166666666672,7.516333333333333,160.2,1.5066666666666675,164.40883333333335,-96.19500000000002,39.40500000000001
2019/1/1 11:30,491.6333333333333,63.35,66.3,756.3,14.035500000000003,9.210666666666667,146.81666666666666,1.3216666666666659,47.24133333333332,-96.01333333333334,39.51833333333333
2019/1/1 12:00,955.3,72.66666666666667,74.95,1261.5833333333333,23.164333333333335,17.756833333333336,122.01666666666667,1.150000000000001,-0.305,-95.96833333333329,39.75833333333334
2019/1/1 12:30,288.1666666666667,77.15,79.23333333333333,754.1166666666667,14.140333333333334,-1.3028333333333333,151.61666666666667,1.445000000000001,-434.8554999999998,-95.95833333333333,39.67333333333332
2019/1/1 13:00,315.1,77.5,79.45,939.05,17.512166666666666,2.579166666666666,137.76666666666668,1.3099999999999985,-423.03583333333324,-95.92999999999998,39.58000000000001
2019/1/1 13:30,414.0,77.6,79.55,669.9,12.605833333333331,-6.836666666666665,190.7,1.5666666666666675,-598.2051666666667,-95.93333333333334,39.67833333333331
2019/1/1 14:00,72.75,75.0,77.0,429.46666666666664,8.094333333333331,0.5655,232.78333333333333,1.1649999999999996,-2.3179999999999987,-96.04499999999999,39.54666666666667
2019/1/1 14:30,53.333333333333336,74.96666666666667,77.0,325.9166666666667,6.165333333333335,-0.5499999999999999,190.0,1.161666666666666,-2.2976666666666654,-96.04666666666667,39.51
2019/1/1 15:00,125.33333333333333,74.2,76.78333333333333,358.3333333333333,6.738166666666666,1.3371666666666668,118.4,1.1166666666666674,-1.6469999999999991,-96.03999999999999,39.51333333333334
