timestamp,dcdc_grid_power
2019/5/9 23:01,0
2019/5/9 23:16,0
2019/5/9 23:31,0
2019/5/9 23:46,0
2019/5/10 00:00,0
2019/5/10 00:15,0
2019/5/10 00:30,0
2019/5/10 00:45,0
2019/5/10 01:00,0
2019/5/10 01:15,0
2019/5/10 01:30,0
2019/5/10 01:45,0
2019/5/10 02:00,0
2019/5/10 02:15,0
2019/5/10 02:30,0
2019/5/10 02:45,0
2019/5/10 03:00,0
2019/5/10 03:15,0
2019/5/10 03:30,0
2019/5/10 03:45,0
2019/5/10 04:00,0
2019/5/10 04:15,0
2019/5/10 04:30,0
2019/5/10 04:45,0
2019/5/10 05:00,0
2019/5/10 05:15,0
2019/5/10 05:30,0
2019/5/10 05:45,0
2019/5/10 06:00,0
2019/5/10 06:15,0
2019/5/10 06:30,0
2019/5/10 06:45,0
2019/5/10 07:00,0
2019/5/10 07:15,0
2019/5/10 07:30,0
2019/5/10 07:45,0
2019/5/10 08:00,0
2019/5/10 08:15,0
2019/5/10 08:30,0
2019/5/10 08:45,0
2019/5/10 09:00,0
2019/5/10 09:15,0
2019/5/10 09:30,0
2019/5/10 09:45,0
2019/5/10 10:00,1.789333333
2019/5/10 10:15,0.081333333
2019/5/10 10:30,0
2019/5/10 10:45,0
2019/5/10 11:00,0
2019/5/10 11:15,0
2019/5/10 11:30,0
2019/5/10 11:45,0
2019/5/10 12:00,0
2019/5/10 12:15,0
2019/5/10 12:30,0
2019/5/10 12:45,0
2019/5/10 13:00,0
2019/5/10 13:15,0
2019/5/10 13:30,0.732
2019/5/10 13:45,419.3503333
2019/5/10 14:00,-1.22
2019/5/10 14:15,-1.22
2019/5/10 14:30,-1.22
2019/5/10 14:45,-1.22
2019/5/10 15:00,0.976
2019/5/10 15:15,1.22
2019/5/10 15:30,1.179333333
2019/5/10 15:45,0.976
2019/5/10 16:00,1.057333333
2019/5/10 16:15,0.162666667
2019/5/10 16:30,0
2019/5/10 16:45,0
2019/5/10 17:00,0
2019/5/10 17:15,0
2019/5/10 17:30,0
2019/5/10 17:45,0
2019/5/10 18:00,0
2019/5/10 18:15,0
2019/5/10 18:30,0
2019/5/10 18:45,0
2019/5/10 19:00,0
2019/5/10 19:15,0
2019/5/10 19:30,0
2019/5/10 19:45,0
2019/5/10 20:00,0
2019/5/10 20:15,0
2019/5/10 20:30,0
2019/5/10 20:45,0
2019/5/10 21:00,0
2019/5/10 21:15,0
2019/5/10 21:30,0
2019/5/10 21:45,0
2019/5/10 22:00,0
2019/5/10 22:15,0
2019/5/10 22:30,0
2019/5/10 22:45,0
2019/5/10 23:00,0
2019/5/10 23:15,0
2019/5/10 23:30,0
2019/5/10 23:45,0
2019/5/11 00:00,0
2019/5/11 00:15,0
2019/5/11 00:30,0
2019/5/11 00:45,0
2019/5/11 01:00,0
2019/5/11 01:15,0
2019/5/11 01:30,0
2019/5/11 01:45,0
2019/5/11 02:00,0
2019/5/11 02:15,0
2019/5/11 02:30,0
2019/5/11 02:45,0
2019/5/11 03:01,0
2019/5/11 03:16,0
2019/5/11 03:31,0
2019/5/11 03:46,0
2019/5/11 04:01,0
2019/5/11 04:16,0
2019/5/11 04:31,0
2019/5/11 04:46,0
2019/5/11 05:01,0
2019/5/11 05:16,0
2019/5/11 05:31,0
2019/5/11 05:46,0
2019/5/11 06:01,0
2019/5/11 06:16,0
2019/5/11 06:31,0
2019/5/11 06:46,0
2019/5/11 07:01,0
2019/5/11 07:16,0
2019/5/11 07:31,0
2019/5/11 07:46,0
2019/5/11 08:01,0
2019/5/11 08:16,0
2019/5/11 08:31,0
2019/5/11 08:46,0
2019/5/11 09:01,69.78366667
2019/5/11 09:16,350.0963333
